vd,vg,id_meas,gm_meas
20.0,-3.0,2.225199999999999e-05,1.2400000000000005e-05
0.0,-2.9,1.7490391064995378e-12,2.9982680121453204e-05
0.1,-2.9,2.846000000000003e-08,2.0089999999999997e-08
0.2,-2.9,1.4814000000000024e-08,7.998000000000002e-08
0.30000000000000004,-2.9,1.5114e-08,1.3089999999999988e-07
0.4,-2.9,2.1620000000000024e-08,1.0704999999999976e-07
0.5,-2.9,2.774200000000002e-08,2.8361e-07
0.6000000000000001,-2.9,6.424000000000004e-08,2.2450000000000016e-08
0.7000000000000001,-2.9,8.212687880070866e-05,1.1556104107782716e-10
0.8,-2.9,8.170000000000006e-08,3.899999999999992e-08
0.9,-2.9,6.39960000000001e-08,1.997399999999998e-07
1.0,-2.9,1.8927437561218426e-07,4.719186018298298e-13
1.1,-2.9,8.446000000000012e-08,2.524999999999998e-07
1.2000000000000002,-2.9,9.644e-08,2.8419999999999965e-07
1.3,-2.9,1.096000000000001e-07,2.9889999999999974e-07
1.4000000000000001,-2.9,2.8460850504253756e-06,0.0005159714517021759
1.5,-2.9,1.377199999999999e-07,3.4819999999999953e-07
1.6,-2.9,1.5386000000000006e-07,3.7979999999999984e-07
1.7000000000000002,-2.9,1.7006e-07,3.983999999999999e-07
1.8,-2.9,1.881200000000001e-07,4.191999999999999e-07
1.9000000000000001,-2.9,2.0669999999999983e-07,4.4659999999999946e-07
2.0,-2.9,2.271999999999998e-07,4.6459999999999954e-07
2.1,-2.9,0.221717600875119,9.485253370959866e-12
2.2,-2.9,2.6893999999999997e-07,5.162999999999999e-07
2.3000000000000003,-2.9,2.925400000000001e-07,5.389999999999996e-07
2.4000000000000004,-2.9,2.2476432243715663e-05,1.9504446153222e-09
2.5,-2.9,2.22213427354173,2.722296524435897e-12
2.6,-2.9,2.491672471002038e-10,7.168076046587172e-07
2.7,-2.9,3.9085999999999994e-07,6.371000000000003e-07
2.8000000000000003,-2.9,4.1737999999999973e-07,6.773999999999999e-07
2.9000000000000004,-2.9,1.8240108311480491e-06,1.2495200038814506e-07
3.0,-2.9,4.769400000000001e-07,7.254999999999998e-07
3.1,-2.9,7.664644649811173e-05,266426.44422820193
3.2,-2.9,5.339768766233983e-15,0.09526567839614361
3.3000000000000003,-2.9,1.5145383539778086e-05,3.2674862207435423e-09
