vd,vg,id_sim,gm_sim
6.0,-3.0,4.156793302655764e-06,-1.2864569743449305e-07
6.1000000000000005,-3.0,4.235213357767522e-06,-1.2972967762825586e-07
6.2,-3.0,4.31411105370692e-06,-1.3068131799696124e-07
6.300000000000001,-3.0,4.393496441102197e-06,-1.3149115655988362e-07
6.4,-3.0,4.4733797338864025e-06,-1.3214931926050302e-07
6.5,-3.0,4.553771313016812e-06,-1.3264552351604738e-07
6.6000000000000005,-3.0,4.634681729888303e-06,-1.3296907947106753e-07
6.7,-3.0,4.716121709745902e-06,-1.3310888927894987e-07
6.800000000000001,-3.0,4.79810215473398e-06,-1.3305344407962665e-07
6.9,-3.0,4.880634147012369e-06,-1.327908179516421e-07
7.0,-3.0,4.963728951614572e-06,-1.3230866336819344e-07
7.1000000000000005,-3.0,5.047398019185816e-06,-1.3159420069670045e-07
7.2,-3.0,5.131652988809788e-06,-1.3063421095918114e-07
7.300000000000001,-3.0,5.2165056906838165e-06,-1.2941502380621343e-07
7.4,-3.0,5.301968148784153e-06,-1.2792250884449512e-07
7.5,-3.0,5.388052583608259e-06,-1.2614206358358205e-07
7.6000000000000005,-3.0,5.474771414790433e-06,-1.240586008576944e-07
7.7,-3.0,5.562137263979175e-06,-1.2165653992354452e-07
7.800000000000001,-3.0,5.650162957461127e-06,-1.1891979218413008e-07
7.9,-3.0,5.7388615290280045e-06,-1.1583175009202663e-07
8.0,-3.0,5.82824622269619e-06,-1.123752745619104e-07
8.1,-3.0,5.918330495721398e-06,-1.0853268363723208e-07
8.200000000000001,-3.0,6.009128021367519e-06,-1.0428573935894456e-07
8.3,-3.0,6.100652691932558e-06,-9.961563589143086e-08
8.4,-3.0,6.19291862156659e-06,-9.450298533417711e-08
8.5,-3.0,6.2859401494789015e-06,-8.892780759407058e-08
8.6,-3.0,6.379731842777305e-06,-8.286951555078663e-08
8.700000000000001,-3.0,6.474308499769202e-06,-7.630690470471617e-08
8.8,-3.0,6.56968515287314e-06,-6.921813677350348e-08
8.9,-3.0,6.665877071954753e-06,-6.158073051727339e-08
9.0,-3.0,6.76289976741316e-06,-5.3371546400262095e-08
9.1,-3.0,6.860768993451383e-06,-4.456677405341675e-08
9.200000000000001,-3.0,6.959500751390797e-06,-3.514191962871018e-08
9.3,-3.0,7.059111292916947e-06,-2.5071791605392884e-08
9.4,-3.0,7.159617123533228e-06,-1.4330488523820904e-08
9.5,-3.0,7.261035005812668e-06,-2.8913847598085483e-09
9.600000000000001,-3.0,7.363381963013565e-06,9.272882172234561e-09
9.700000000000001,-3.0,7.466675282483524e-06,2.219042535463729e-08
9.8,-3.0,7.5709325189931455e-06,3.5890123258601464e-08
9.9,-3.0,7.676171498635594e-06,5.040163100971464e-08
10.0,-3.0,7.782410322128054e-06,6.575539623617375e-08
10.100000000000001,-3.0,7.889667368638766e-06,8.198267159435251e-08
10.200000000000001,-3.0,7.997961299347895e-06,9.91155288609903e-08
10.3,-3.0,8.10731106119137e-06,1.1718687398750864e-07
10.4,-3.0,8.217735890695439e-06,1.3623045878134098e-07
10.5,-3.0,8.329255317679714e-06,1.5628089680824785e-07
10.600000000000001,-3.0,8.441889169177809e-06,1.7737367666056272e-07
10.700000000000001,-3.0,8.555657573247642e-06,1.995451760677446e-07
10.8,-3.0,8.670580962969245e-06,2.2283267600643913e-07
10.9,-3.0,8.786680080428779e-06,2.472743755613159e-07
11.0,-3.0,8.903975980623182e-06,2.72909404741778e-07
11.100000000000001,-3.0,9.022490035673167e-06,2.9977784019386456e-07
11.200000000000001,-3.0,9.142243938752956e-06,3.279207188668217e-07
11.3,-3.0,9.263259708427563e-06,3.5738005155248445e-07
11.4,-3.0,9.38555969266255e-06,3.881988386956544e-07
11.5,-3.0,9.509166573167304e-06,4.204210841380398e-07
11.600000000000001,-3.0,9.634103369660609e-06,4.5409180861897775e-07
11.700000000000001,-3.0,9.760393444133438e-06,4.892570661123454e-07
11.8,-3.0,9.888060505296263e-06,5.259639563138412e-07
11.9,-3.0,1.0017128612903765e-05,5.642606399594403e-07
12.0,-3.0,1.0147622182342737e-05,6.04196353251857e-07
12.100000000000001,-3.0,1.0279565988997793e-05,6.458214227120973e-07
12.200000000000001,-3.0,1.0412985172870182e-05,6.891872785643426e-07
12.3,-3.0,1.0547905243162923e-05,7.343464704318931e-07
12.4,-3.0,1.0684352082965863e-05,7.813526801088321e-07
12.5,-3.0,1.0822351953816718e-05,8.302607384445611e-07
12.600000000000001,-3.0,1.096193150064342e-05,8.811266372710734e-07
12.700000000000001,-3.0,1.110311775640375e-05,9.340075445435327e-07
12.8,-3.0,1.1245938146824682e-05,9.889618209361054e-07
12.9,-3.0,1.1390420495618407e-05,1.046049030748695e-06
13.0,-3.0,1.1536593028985134e-05,1.105329958428506e-06
13.100000000000001,-3.0,1.1684484380899165e-05,1.1668666231438907e-06
13.200000000000001,-3.0,1.183412359809098e-05,1.2307222899950998e-06
13.3,-3.0,1.1985540144937553e-05,1.2969614890737442e-06
13.4,-3.0,1.2138763908800935e-05,1.3656500262490477e-06
13.5,-3.0,1.2293825205105629e-05,1.4368549970939845e-06
13.600000000000001,-3.0,1.2450754782474205e-05,1.5106448043545192e-06
13.700000000000001,-3.0,1.2609583828223915e-05,1.5870891679812555e-06
13.8,-3.0,1.2770343973472547e-05,1.6662591418082953e-06
13.9,-3.0,1.293306729854731e-05,1.7482271271805236e-06
14.0,-3.0,1.3097786338607735e-05,1.8330668848796802e-06
14.100000000000001,-3.0,1.3264534088769322e-05,1.9208535517798406e-06
14.200000000000001,-3.0,1.3433344009919877e-05,2.0116636538353777e-06
14.3,-3.0,1.3604250034224803e-05,2.1055751169849017e-06
14.4,-3.0,1.3777286570646599e-05,2.202667285410902e-06
14.5,-3.0,1.3952488510727717e-05,2.303020931729419e-06
14.600000000000001,-3.0,1.4129891234283738e-05,2.406718271464345e-06
14.700000000000001,-3.0,1.4309530615219584e-05,2.513842976750147e-06
14.8,-3.0,1.4491443027290831e-05,2.624480188889385e-06
14.9,-3.0,1.4675665350084536e-05,2.7387165325039075e-06
15.0,-3.0,1.4862234974886104e-05,2.8566401280587025e-06
15.100000000000001,-3.0,1.5051189810719e-05,2.9783406041759485e-06
15.200000000000001,-3.0,1.5242568290366402e-05,3.1039091116702463e-06
15.3,-3.0,1.5436409376446468e-05,3.233438337153309e-06
15.4,-3.0,1.5632752567663354e-05,3.3670225126741256e-06
15.5,-3.0,1.5831637904858498e-05,3.50475743168013e-06
15.600000000000001,-3.0,1.6033105977469032e-05,3.6467404585888753e-06
15.700000000000001,-3.0,1.6237197929677335e-05,3.79307054397388e-06
15.8,-3.0,1.6443955466859357e-05,3.9438482339294215e-06
15.9,-3.0,1.6653420862004384e-05,4.099175684583871e-06
16.0,-3.0,1.6865636962215833e-05,4.259156672106777e-06
16.1,-3.0,1.7080647195182902e-05,4.423896606540847e-06
16.2,-3.0,1.729849557591921e-05,4.593502540348342e-06
16.3,-3.0,1.751922671318856e-05,4.7680831842616994e-06
16.400000000000002,-3.0,1.774288581635922e-05,4.947748915358949e-06
16.5,-3.0,1.7969518702256413e-05,5.132611788849188e-06
16.6,-3.0,1.8199171801749486e-05,5.322785551000614e-06
