vd,vg,id_sim,gm_sim
4.3,-3.0,4.901856160167483e-06,-3.3530177847927664e-07
4.4,-3.0,5.042596805703127e-06,-3.431775108618594e-07
4.5,-3.0,5.185460095707461e-06,-3.506429496141387e-07
4.6000000000000005,-3.0,5.33052665354156e-06,-3.576328087570957e-07
4.7,-3.0,5.477879693428255e-06,-3.6407753127594306e-07
4.800000000000001,-3.0,5.627605091407799e-06,-3.699031375736319e-07
4.9,-3.0,5.779791457670364e-06,-3.750310649706696e-07
5.0,-3.0,5.934530210976346e-06,-3.793780137311999e-07
5.1000000000000005,-3.0,6.091915654476772e-06,-3.8285578566101e-07
5.2,-3.0,6.252045053487342e-06,-3.8537112482245133e-07
5.300000000000001,-3.0,6.415018714998691e-06,-3.8682555331593545e-07
5.4,-3.0,6.580940069016457e-06,-3.871152106157579e-07
5.5,-3.0,6.749915751921198e-06,-3.861306882426415e-07
5.6000000000000005,-3.0,6.922055691407708e-06,-3.837568627126441e-07
5.7,-3.0,7.097473193678571e-06,-3.7987273076582115e-07
5.800000000000001,-3.0,7.276285032400818e-06,-3.7435124090799985e-07
5.9,-3.0,7.458611539719709e-06,-3.670591230115603e-07
6.0,-3.0,7.644576699219122e-06,-3.578567208763172e-07
6.1000000000000005,-3.0,7.834308241044463e-06,-3.465978195748725e-07
6.2,-3.0,8.027937739056885e-06,-3.331294756422113e-07
6.300000000000001,-3.0,8.225600710032672e-06,-3.1729184378956623e-07
6.4,-3.0,8.427436715171176e-06,-2.9891800486614714e-07
6.5,-3.0,8.633589463638544e-06,-2.7783379266393453e-07
6.6000000000000005,-3.0,8.844206918421948e-06,-2.538576205747415e-07
6.7,-3.0,9.059441404448453e-06,-2.2680030826326774e-07
6.800000000000001,-3.0,9.279449718864696e-06,-1.96464906645766e-07
6.9,-3.0,9.504393243913045e-06,-1.626465268389042e-07
7.0,-3.0,9.734438061918073e-06,-1.251321646717674e-07
7.1000000000000005,-3.0,9.969755072730051e-06,-8.370052694496697e-08
7.2,-3.0,1.0210520113837641e-05,-3.812186179650412e-08
7.300000000000001,-3.0,1.0456914082554799e-05,1.1842217841834459e-08
7.4,-3.0,1.0709123061140844e-05,6.643890253515091e-08
7.5,-3.0,1.0967338444316834e-05,1.2592435588888927e-07
7.6000000000000005,-3.0,1.1231757069159578e-05,1.905638895844332e-07
7.7,-3.0,1.1502581348170518e-05,2.606321257327062e-07
7.800000000000001,-3.0,1.1780019404448143e-05,3.3641316819497077e-07
7.9,-3.0,1.2064285209943645e-05,4.182007665083525e-07
8.0,-3.0,1.2355598726390785e-05,5.062984817138167e-07
8.1,-3.0,1.2654186049070853e-05,6.010198466186478e-07
8.200000000000001,-3.0,1.296027955340228e-05,7.026885292320325e-07
8.3,-3.0,1.3274118044330931e-05,8.116384905816971e-07
8.4,-3.0,1.3595946908934974e-05,9.282141403931934e-07
8.5,-3.0,1.3926018271693735e-05,1.0527704932852814e-06
8.6,-3.0,1.4264591153059576e-05,1.1856733193713024e-06
8.700000000000001,-3.0,1.4611931630874228e-05,1.3272992956926113e-06
8.8,-3.0,1.4968313005169179e-05,1.4780361511261436e-06
8.9,-3.0,1.533401596585176e-05,1.638282810984577e-06
9.0,-3.0,1.5709328763893433e-05,1.8084495390979277e-06
9.1,-3.0,1.6094547385629437e-05,1.988958074601933e-06
9.200000000000001,-3.0,1.6489975730243643e-05,2.180241768920016e-06
9.3,-3.0,1.689592579105674e-05,2.3827457145528687e-06
9.4,-3.0,1.7312717839769624e-05,2.5969268747236176e-06
9.5,-3.0,1.7740680614425435e-05,2.8232542083117298e-06
9.600000000000001,-3.0,1.8180151510892837e-05,3.0622087885598356e-06
9.700000000000001,-3.0,1.8631476777839677e-05,3.3142839225369495e-06
9.8,-3.0,1.9095011715366883e-05,3.5799852623145623e-06
9.9,-3.0,1.9571120877400194e-05,3.859830914460624e-06
10.0,-3.0,2.0060178277762606e-05,4.154351543877143e-06
10.100000000000001,-3.0,2.056256759999929e-05,4.464090475280255e-06
10.200000000000001,-3.0,2.1078682411219875e-05,4.789603788053348e-06
10.3,-3.0,2.1608926379666273e-05,5.1314604067367404e-06
